,link,composition,imageUrl,title,description,price,color,sustainability,gender
10,https://www.zara.com/us/en/acid-wash-t-shirt-p06917310.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/6917/310/802/2/w/563/6917310802_1_1_1.jpg?ts=1625818295116,ACID WASH T-SHIRT,Sleeveless relaxed fit shirt with round neckline. Washed effect.,45.90 USD,Color Gray | 6917/310,,men
11,https://www.zara.com/us/en/printed-geometric-t-shirt-p06224312.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/6224/312/250/2/w/563/6224312250_1_1_1.jpg?ts=1628249013546,PRINTED GEOMETRIC T-SHIRT,Round neck top with short sleeves. Contrasting front print.,35.90 USD,Color White | 6224/312,,men
12,https://www.zara.com/us/en/skull-print-t-shirt-p00679316.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/0679/316/800/2/w/563/0679316800_1_1_1.jpg?ts=1633077106746,SKULL PRINT T-SHIRT,Full cut shirt with crew neck and long sleeves. Contrasting print at front and sleeve.,39.90 USD,Color Black | 0679/316,,men
13,https://www.zara.com/us/en/combination-knit-top-p06674300.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', '100% nylon', 'Knit garments are elastic, therefore it is important to wash them in low temperatures on gentle spin cycle, dry them on a flat surface, and then store folded. This way, we help them retain their shape and reduce energy consumption.']",https://static.zara.net/photos///2021/I/0/2/p/6674/300/250/3/w/563/6674300250_1_1_1.jpg?ts=1626187437282,COMBINATION KNIT TOP,Top made of cotton fabric. Round neck and short sleeves. Chest patch pocket. Rib trim.,45.90 USD,Color White | 6674/300,,men
14,https://www.zara.com/us/en/basic-medium-weight-t-shirt-p00381300.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1887/305/108/2/w/563/1887305108_1_1_1.jpg?ts=1627905713057,BASIC MEDIUM WEIGHT T-SHIRT,Regular fit T-shirt made with mercerized fabric. Round rib neckline and short sleeves.,17.90 USD,Color Navys / Ecru | 0381/300,,men
15,https://www.zara.com/us/en/basic-long-sleeve-t-shirt-p06462303.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', '96% cotton · 4% elastane', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/6462/303/916/2/w/563/6462303916_1_1_1.jpg?ts=1632910435810,BASIC LONG SLEEVE T-SHIRT,T-shirt made in textured cotton. Round neck and long sleeves.,35.90 USD,Color Gray green | 6462/303,,men
16,https://www.zara.com/us/en/the-beach-boys---bravado-t-shirt-p01277402.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1277/402/063/2/w/563/1277402063_1_1_1.jpg?ts=1620978139513,THE BEACH BOYS © BRAVADO T-SHIRT,Round neck short sleeve T-shirt with contrast trim. Front text print and back graphic print of The Beach Boys © Bravado Merchandising.,35.90 USD,Color White / Green | 1277/402,,men
17,https://www.zara.com/us/en/freddie-mercury---bravado-print-t-shirt-p01277304.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1277/304/250/2/w/563/1277304250_1_1_1.jpg?ts=1631038914424,FREDDIE MERCURY © BRAVADO PRINT T-SHIRT,Full cut T-shirt with crew neck and short sleeves. Text and photographic print of Freddie Mercury © Bravado Merchandising.,35.90 USD,Color White | 1277/304,,men
18,https://www.zara.com/us/en/short-sleeve-sweater-p03332304.html,"['Care for fiber: 100% ecologically grown cotton.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'Ecologically grown cotton is grown using natural fertilizers and pesticides.The use of these natural growth methods is more respectful of water and of environmental biodiversity which allows farmers to integrate cotton crops with others that serve as food such as oranges, tomatoes, or turmeric, for example.Additionally, in ecologically grown cotton farms the use of genetically modified seeds is avoided, helping to conserve seed biodiversity and soil fertility.', 'We only use ecologically grown cotton certified by organizations that perform monitoring from raw material through the final product. We are currently working with:Organic Content Standard (OCS)Global Organic Textile Standard (GOTS)', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Knit garments are elastic, therefore it is important to wash them in low temperatures on gentle spin cycle, dry them on a flat surface, and then store folded. This way, we help them retain their shape and reduce energy consumption.']",https://static.zara.net/photos///2021/I/0/2/p/3332/304/251/82/w/563/3332304251_1_1_1.jpg?ts=1633506838211,SHORT SLEEVE SWEATER,Cotton knit sweater. Round neck and short sleeves. Rib trim.,45.90 USD,Color Oyster White | 3332/304,,men
19,https://www.zara.com/us/en/graffiti-print-knit-t-shirt-p04090301.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Wash your garments only when needed, as sometimes freshening them up is sufficient. Wash cycles slowly wear down fabrics. By reducing the amount of washing, we lengthen the life our garments and reduce water and energy consumption in their care.']",https://static.zara.net/photos///2021/I/0/2/p/4090/301/707/2/w/563/4090301707_1_1_1.jpg?ts=1622645945909,GRAFFITI PRINT KNIT T-SHIRT,Knit shirt with round neck and short sleeves.,35.90 USD,Color taupe brown | 4090/301,,men
20,https://www.zara.com/us/en/tie-dye-print-t-shirt-p06917301.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/6917/301/903/2/w/563/6917301903_1_1_1.jpg?ts=1623404231494,TIE-DYE PRINT T-SHIRT,Round neck top with short sleeves.,49.90 USD,Color Blue green | 6917/301,,men
21,https://www.zara.com/us/en/graphic-print-t-shirt-p01259305.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1259/305/800/2/w/563/1259305800_1_1_1.jpg?ts=1623230882456,GRAPHIC PRINT T-SHIRT,Full cut round neck T-shirt with short sleeves. Contrast graphic print detail at front.,35.90 USD,Color Black | 1259/305,,men
22,https://www.zara.com/us/en/contrasting-stripe-t-shirt-p05372445.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', '100% polyester', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/5372/445/401/2/w/563/5372445401_1_1_1.jpg?ts=1620978174031,CONTRASTING STRIPE T-SHIRT,Round neck T-shirt with short sleeves. Contrasting stripes at shoulders.,29.90 USD,Color Navy blue | 5372/445,,men
23,https://www.zara.com/us/en/long-length-t-shirt-p01887300.html,"['Care for fiber: at least 50% ecologically grown cotton or Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'Ecologically grown cotton is grown using natural fertilizers and pesticides.The use of these natural growth methods is more respectful of water and of environmental biodiversity which allows farmers to integrate cotton crops with others that serve as food such as oranges, tomatoes, or turmeric, for example.Additionally, in ecologically grown cotton farms the use of genetically modified seeds is avoided, helping to conserve seed biodiversity and soil fertility.', 'We only use ecologically grown cotton certified by organizations that perform monitoring from raw material through the final product. We are currently working with:Organic Content Standard (OCS)Global Organic Textile Standard (GOTS)', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1887/300/505/542/w/563/1887300505_1_1_1.jpg?ts=1633446665997,LONG LENGTH T-SHIRT,Extra long T-shirt. Round neck and short sleeves.,19.90 USD,Color Khaki | 1887/300,,men
