SN,title,description,price,color,gender,imageUrl,rating,reviews,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
11,Jane 1996 - White,"Simple and chic, the Jane tee is a go-to relaxed and classic cut. Jane drapes beautifully and pairs perfectly with your favourite jeans or shorts. Made with soft-to-touch, premium organic cotton for maximum comfort and durability. Finished with a touch of ’90s, Jane features a small, centred Outland Denim logo.",70,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-jane-1996-charcoal-front_42a01db6-2a2f-419b-8d5b-281632eb985d_1000x.jpg?v=1634089328,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
12,Margot - White,"A quintessential crisp, white button-down with a modern twist. We’ve elevated an understated essential with a contemporary unstructured shape, high-low back, and drop-sleeve for a relaxed, effortlessly chic look that will carry from day to night. 

Pair with your denim for instant ‘off-duty model’ vibes, or tuck into our sophisticated Penny skirt for the 9-5.",160,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-shirt-margot-white-lead_1000x.jpg?v=1627277230,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
13,Sam Raglan - Navy,"An ode to old-school, the 100% organic cotton Sam raglan tee is an iconic core essential in your wardrobe. Made for clean and easy styling, with a boyfriend-style relaxed fit through the neck and body. Finished with heritage-inspired Outland Denim logo. Sam is great for layering under a jacket or simply wearing as-is. We recommend pairing with the Annie short in White or your Athina jeans for a 90’s inspired ensemble. ",100,navy,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-sam-raglan-navy-white-lead_1000x.jpg?v=1627277233,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
14,Sam Raglan - White,"An ode to old-school, the 100% organic cotton Sam raglan tee is an iconic core essential in your wardrobe. Made for clean and easy styling, with a boyfriend-style relaxed fit through the neck and body. Finished with heritage-inspired Outland Denim logo. Sam is great for layering under a jacket or simply wearing as-is. We recommend pairing with the Annie short in White or your Athina jeans for a 90’s inspired ensemble. ",100,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-sam-raglan-white-navy-lead_91ed733b-ac1e-4151-8b0b-ace9997509d3_800x.jpg?v=1634093510,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
15,Bernie - Ink,"Not too heavy, not too light, the Bernie jersey walks a perfect line down the middle. This makes it perfect for all-year-round wear. Throw on over a tee, layer under a jacket, or keep things simple and wear as is - either way, Bernie will serve you well.

Bernie’s 100% organic cotton waffle knit fabric offers a more elevated alternative to your traditional crew, along with a super soft, breathable feel. We’ve finished Bernie with a Good For Humanity brand patch at the hip, because you deserve it.",100,black,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-long-sleeve-tee-bernie-ink-2_972ec1b7-0e26-4080-b0b4-d20eee2ec6a0_1000x.jpg?v=1634018544,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
16,Bernie - White,"Not too heavy, not too light, the Bernie jersey walks a perfect line down the middle. This makes it perfect for all-year-round wear. Throw on over a tee, layer under a jacket, or keep things simple and wear as is - either way, Bernie will serve you well.

Bernie’s 100% organic cotton waffle knit fabric offers a more elevated alternative to your traditional crew, along with a super soft, breathable feel. We’ve finished Bernie with a Good For Humanity brand patch at the hip, because you deserve it.",100,white,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-long-sleeve-tee-bernie-off-white-2_1000x.jpg?v=1631598235,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
17,James Raglan - Navy,"An ode to old-school, the 100% organic cotton James Raglan Tee is an iconic, core essential. Made for clean and easy styling, with a relaxed fit through the neck and body. Finished with our signature ‘Good For Humanity’ outer-badge, because you deserve it. James is great for layering under a jacket or simply wearing as-is.",100,navy,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-raglan-longe-sleeve-james-navy-white-2_1000x.jpg?v=1627277234,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
18,James Raglan - White,"An ode to old-school, the 100% organic cotton James Raglan Tee is an iconic, core essential. Made for clean and easy styling, with a relaxed fit through the neck and body. Finished with our signature ‘Good For Humanity’ outer-badge, because you deserve it. James is great for layering under a jacket or simply wearing as-is.",100,white,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-raglan-longe-sleeve-james-navy-white-2_1000x.jpg?v=1627277234,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
19,Johnny Heritage - Charcoal,"The Johnny tee makes getting dressed easy, with a classic slim fit and crew neck. We've made Johnny the perfect length so you can style it tucked in or out. Made with organic cotton and finished with the Outland Denim logo, Johnny is simple, smart, and made to last",69,charcoal,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-johnny-charcoal-lead_99a7c3b7-1e65-4e9b-a755-bcd951508402_1000x.jpg?v=1634090056,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
20,Johnny Heritage - Grey,"The Johnny tee makes getting dressed easy, with a classic slim fit and crew neck. We've made Johnny the perfect length so you can style it tucked in or out. Made with organic cotton and finished with the Outland Denim logo, Johnny is simple, smart, and made to last",69,grey,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-johnny-heritage-grey-marle-front_ba94d7f1-317f-438c-b35c-dc671aa27921_1000x.jpg?v=1634089993,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
21,Johnny Heritage - Navy,"The Johnny tee makes getting dressed easy, with a classic slim fit and crew neck. We've made Johnny the perfect length so you can style it tucked in or out. Made with organic cotton and finished with the Outland Denim logo, Johnny is simple, smart, and made to last",69,navy,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-johnny-navy-lead_1000x.jpg?v=1625108363,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
22,Johnny Heritage - Sand,"The Johnny tee makes getting dressed easy, with a classic slim fit and crew neck. We've made Johnny the perfect length so you can style it tucked in or out. Made with organic cotton and finished with the Outland Denim logo, Johnny is simple, smart, and made to last",69,sand,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-johnny-sand-lead_15a05a67-0e8f-4dd0-9201-c6d31f6b233b_1000x.jpg?v=1634090092,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
23,Johnny Heritage - White,"The Johnny tee makes getting dressed easy, with a classic slim fit and crew neck. We've made Johnny the perfect length so you can style it tucked in or out. Made with organic cotton and finished with the Outland Denim logo, Johnny is simple, smart, and made to last",69,white,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-johnny-heritage-white-front_5e11a546-e3cd-4911-aeca-a6a402731ebd_1000x.jpg?v=1634090119,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
24,Placement Freedom - White,"The Placement Free tee has a classic boxy shape through the body, with extra length for a relaxed, vintage feel. Made with premium organic cotton, the Placement Free tee is the perfect weight and softness.",69,white,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-placement-tee-freedom-front_1000x.jpg?v=1613082589,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
25,Placement Origins - Charcoal,"The Placement Origins tee has a classic shape through the body with extra length for a relaxed, vintage feel. Made from premium organic cotton for perfect weight and softness.

This original artwork, hand-drawn by hinterland artist Nelson Kokela, references the beautiful mountain ranges of our hinterland home. Here we pay tribute to the roots of Outland Denim, and the connection our community has with the seamstresses who make their clothes.",69,charcoal,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-placement-tee-charcoal-side_7502c12b-bfbd-4ac8-ad52-e27d9a596582_1000x.jpg?v=1634092674,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
26,Placement Origins - Charcoal,"The Placement Origins tee has a classic shape through the body with extra length for a relaxed, vintage feel. Made from premium organic cotton for perfect weight and softness.

This original artwork, hand-drawn by hinterland artist Nelson Kokela, references the beautiful mountain ranges of our hinterland home. Here we pay tribute to the roots of Outland Denim, and the connection our community has with the seamstresses who make their clothes.",69,white,men,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/mens-tee-placement-tee-white-front_1000x.jpg?v=1613082590,null,null,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
