title,description,price,color,gender,imageUrl,brand,composition,polyester,lyocell,acrylic,rayon,spandex,cotton,modal,nylon,cupro
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,OFF WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_01_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,DARK GRAY,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_08_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_09_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,PINK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_11_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,WINE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_18_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,BEIGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_31_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,YELLOW,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_46_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women HEATTECH fleece turtleneck long-sleeve t-shirt,"#The sleeves and body have been redesigned for better range of motion. #This hybrid T-shirt combines the softness of fleece with the bio-warming, insulating performance of HEATTECH. #The fitted turtleneck folds over to create a high-neck style. #Updated cut is still snug enough to wear as an inner T-shirt, but also relaxed enough on its own.",19.9,BLUE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439141/item/goods_67_439141.jpg?width=380,uniqlo,"70% Acrylic, 30% Rayon",0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_00_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_09_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,PINK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_10_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,PINK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_12_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,LIGHT ORANGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_21_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,ORANGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_24_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,BEIGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_31_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,KHAKI,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_33_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,BROWN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_37_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,GREEN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_51_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,GREEN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_54_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,OLIVE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_56_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,BLUE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_65_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u crew neck short-sleeve t-shirt,"#The Paris design team, led by Christophe Lemaire, created a new collection of LifeWear using innovative fabrics and modern designs. #A trendy, relaxed silhouette that can be worn by both men and women.  #Our classic T-shirt is simple yet modern. #A sturdy heavy cotton cloth material made from low-count yarn with a compact knit. It is durable and long lasting and gains character after every wash.  #The collar has binding specifications that helps the garment keep its shape and won't stretch out.  #Casual and sophisticated color that's unique to the UNIQLO U Collection.",14.9,PURPLE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/435193/item/goods_71_435193.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_00_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,DARK GRAY,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_08_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_09_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,PINK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_12_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,NATURAL,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_30_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,DARK GREEN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_58_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women u HEATTECH cotton mock neck long-sleeve t-shirt,#The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.#Made with soft HEATTECH fabric. #Versatile mock neck design styles on its own or in layered looks. #Earth tone colors.,24.9,BLUE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/441587/item/goods_68_441587.jpg?width=380,uniqlo,"Body: 74% Cotton, 9% Polyester, 8% Rayon, 5% Acrylic, 4% Spandex/ Rib: 73% Cotton, 27% Polyester",0.09,0.0,0.05,0.08,0.04,0.74,0.0,0.0,0.0
women smooth cotton shirttail long-sleeve t-shirt,"#Sumptuously soft 100% cotton. #Wrinkle-resistant and dust-repellent. #Stylishly loose-fitting cut. #Designed with a longer body length and a rounded shirttail hem for easy layering. #Classic round-neck design.#In response to customer feedback, we've made the neckline slightly narrower and adjusted the hem length.",19.9,WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439065/item/goods_00_439065.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women smooth cotton shirttail long-sleeve t-shirt,"#Sumptuously soft 100% cotton. #Wrinkle-resistant and dust-repellent. #Stylishly loose-fitting cut. #Designed with a longer body length and a rounded shirttail hem for easy layering. #Classic round-neck design.#In response to customer feedback, we've made the neckline slightly narrower and adjusted the hem length.",19.9,OFF WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439065/item/goods_01_439065.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women smooth cotton shirttail long-sleeve t-shirt,"#Sumptuously soft 100% cotton. #Wrinkle-resistant and dust-repellent. #Stylishly loose-fitting cut. #Designed with a longer body length and a rounded shirttail hem for easy layering. #Classic round-neck design.#In response to customer feedback, we've made the neckline slightly narrower and adjusted the hem length.",19.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439065/item/goods_09_439065.jpg?width=380,uniqlo,100% Cotton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
women smooth stretch cotton crew neck long-sleeve t-shirt,"#Cotton fabric with a soft feel. #Relaxed cut that looks stylish worn on its own. #In response to customer feedback, we've made the cut more generous.#Basic cotton T-shirt with updated fabric and fit. #Opaque fabric treated with a special softener to achieve a smoother texture. #Compact yarn is resistant to pilling so it stays looking good for longer. #Perfect for layering.",19.9,WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439062/item/goods_00_439062.jpg?width=380,uniqlo,"96% Cotton, 4% Spandex",0.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0
women smooth stretch cotton crew neck long-sleeve t-shirt,"#Cotton fabric with a soft feel. #Relaxed cut that looks stylish worn on its own. #In response to customer feedback, we've made the cut more generous.#Basic cotton T-shirt with updated fabric and fit. #Opaque fabric treated with a special softener to achieve a smoother texture. #Compact yarn is resistant to pilling so it stays looking good for longer. #Perfect for layering.",19.9,LIGHT GRAY,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439062/item/goods_02_439062.jpg?width=380,uniqlo,"96% Cotton, 4% Spandex",0.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0
women smooth stretch cotton crew neck long-sleeve t-shirt,"#Cotton fabric with a soft feel. #Relaxed cut that looks stylish worn on its own. #In response to customer feedback, we've made the cut more generous.#Basic cotton T-shirt with updated fabric and fit. #Opaque fabric treated with a special softener to achieve a smoother texture. #Compact yarn is resistant to pilling so it stays looking good for longer. #Perfect for layering.",19.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439062/item/goods_09_439062.jpg?width=380,uniqlo,"96% Cotton, 4% Spandex",0.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0
women smooth stretch cotton crew neck long-sleeve t-shirt,"#Cotton fabric with a soft feel. #Relaxed cut that looks stylish worn on its own. #In response to customer feedback, we've made the cut more generous.#Basic cotton T-shirt with updated fabric and fit. #Opaque fabric treated with a special softener to achieve a smoother texture. #Compact yarn is resistant to pilling so it stays looking good for longer. #Perfect for layering.",19.9,DARK ORANGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439062/item/goods_29_439062.jpg?width=380,uniqlo,"96% Cotton, 4% Spandex",0.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0
