,title,color,imageUrl,price,gender,brand,description,composition,cotton
51,Lisa Palm Tree Faded Sun,faded sun,https://cdn.nudiejeans.com/img/Lisa-Palm-Tree-Faded-Sun-131791Y23-10_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
52,Tina Daydreamer 50s Blue,50s blue,https://cdn.nudiejeans.com/img/Tina-Daydreamer-50s-Blue-131789C41-10_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
53,Lisa Pina Colada Navy,navy,https://cdn.nudiejeans.com/img/Lisa-Pina-Colada-Navy-131793B25-09_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
54,Tina Tee Faded Sun,faded sun,https://cdn.nudiejeans.com/img/Tina-Tee-Faded-Sun-131695Y23-11_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
55,Louise Sleeveless Window Navy,navy,https://cdn.nudiejeans.com/img/Louise-Sleeveless-Window-Navy-131790B25-08-1_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
56,Tina Plot Twist,black,https://cdn.nudiejeans.com/img/Tina-Plot-Twist-Black-131794B01-10-1_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
57,Tina Tee Offwhite,offwhite,https://cdn.nudiejeans.com/img/Tina-Tee-Offwhite-131695W04-27_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
58,Tina Tee Antracite,Antracite,https://cdn.nudiejeans.com/img/Tina-Tee-Antracite-131695-34_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
59,Lisa Tee Offwhite,offwhite,https://cdn.nudiejeans.com/img/Lisa-Tee-Offwhite-131696-29_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
60,Lisa Tee Antracite,Antracite,https://cdn.nudiejeans.com/img/Lisa-Tee-Antracite-131696B30-11_1600x1600.jpg,70,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
61,Lova Tee Chalk White,chalk white,https://cdn.nudiejeans.com/img/Lova-Tee-Chalk-White-131760W47-16_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
62,Lova Tee Greymelange,Greymelange,https://cdn.nudiejeans.com/img/Lova-Tee-Greymelange-131760B04-25_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
63,Lova Do Not Quit Chalk White,chalk white,https://cdn.nudiejeans.com/img/Lova-Do-Not-Quit-Chalk-White-131795W47-07_1600x1600.jpg,90,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
64,Lova Do Not Quit Faded Sun,faded sun,https://cdn.nudiejeans.com/img/Lova-Do-Not-Quit-Faded-Sun-131795Y23-12_1600x1600.jpg,90,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
65,Lisa Umbrella Chili,red,https://cdn.nudiejeans.com/img/Lisa-Umbrella-Chili-131792R28-08_1600x1600.jpg,80,women,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
